Accession	Organism	Kingdom	Length	Signal_Peptide	Transmembrane_Helix	Train	Fold
P38127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377	0	False	True	0
Q9CQ79	Mus musculus	Metazoa	226	0	False	True	0
Q09260	Caenorhabditis elegans	Metazoa	490	0	False	True	0
P0DJH6	Gallus gallus	Metazoa	76	0	False	True	0
Q8T0D4	Drosophila melanogaster	Metazoa	299	0	False	True	0
Q9C5U1	Arabidopsis thaliana	Plants	1036	0	True	True	0
O20029	Chlamydomonas reinhardtii	Plants	191	0	False	True	0
P40356	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397	0	False	True	0
Q9BV86	Homo sapiens	Metazoa	223	0	False	True	0
P17106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351	0	False	True	0
Q06801	Solanum tuberosum	Plants	576	0	False	True	0
Q08760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435	0	False	True	0
Q9D945	Mus musculus	Metazoa	130	0	False	True	0
C8KI33	Arabidopsis thaliana	Plants	646	0	False	True	0
P53955	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	656	0	False	True	0
P25588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1096	0	False	True	0
H2KZH5	Caenorhabditis elegans	Metazoa	621	0	False	True	0
Q9Y2U8	Homo sapiens	Metazoa	911	0	False	True	0
P50080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	613	0	True	True	0
O94653	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1121	0	False	True	0
Q9ES40	Rattus norvegicus	Metazoa	188	0	True	True	0
Q6ZNL6	Homo sapiens	Metazoa	1462	0	False	True	0
P29083	Homo sapiens	Metazoa	439	0	False	True	0
D5LXJ0	Lotus japonicus	Plants	691	0	False	True	0
Q9ZU51	Arabidopsis thaliana	Plants	147	0	False	True	0
Q9LW29	Arabidopsis thaliana	Plants	575	0	False	True	0
Q99MR6	Mus musculus	Metazoa	875	0	False	True	0
Q9NY74	Homo sapiens	Metazoa	926	0	False	True	0
P38313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	324	0	False	True	0
Q8IY22	Homo sapiens	Metazoa	773	0	False	True	0
P54198	Homo sapiens	Metazoa	1017	0	False	True	0
P62249	Homo sapiens	Metazoa	146	0	False	True	0
Q03799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155	0	False	True	0
Q9Y222	Homo sapiens	Metazoa	760	0	False	True	0
Q0WUY1	Arabidopsis thaliana	Plants	534	0	False	True	0
Q9Y3C1	Homo sapiens	Metazoa	178	0	False	True	0
Q9ZNT7	Arabidopsis thaliana	Plants	286	0	False	True	0
O74957	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	834	0	False	True	0
P03920	Bos taurus	Metazoa	606	0	True	True	0
O13936	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	990	0	False	True	0
Q9P0P8	Homo sapiens	Metazoa	240	0	False	True	0
Q94AI6	Arabidopsis thaliana	Plants	752	0	False	True	0
Q9LVA9	Arabidopsis thaliana	Plants	420	0	False	True	0
Q9CRA5	Mus musculus	Metazoa	298	0	False	True	0
Q3MK94	Arabidopsis thaliana	Plants	428	0	False	True	0
Q8IHY1	Plasmodium falciparum (isolate 3D7)	Other	4226	0	False	True	0
Q9D494	Mus musculus	Metazoa	218	0	False	True	0
Q03385	Mus musculus	Metazoa	852	0	False	True	0
Q10571	Homo sapiens	Metazoa	1320	0	False	True	0
Q9UBH6	Homo sapiens	Metazoa	696	0	False	True	0
Q9LX31	Arabidopsis thaliana	Plants	265	0	False	True	0
P25555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	427	0	False	True	0
Q86XA0	Homo sapiens	Metazoa	190	0	False	True	0
F4JCX9	Arabidopsis thaliana	Plants	663	0	False	True	0
Q9NWQ9	Homo sapiens	Metazoa	140	0	False	True	0
P40506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365	0	False	True	0
Q3YEC7	Homo sapiens	Metazoa	729	0	False	True	0
P07249	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	0	False	True	0
Q9R1T5	Rattus norvegicus	Metazoa	312	0	False	True	0
O13803	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	601	0	False	True	0
Q13309	Homo sapiens	Metazoa	424	0	False	True	0
P53734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	629	0	False	True	0
P78917	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	550	0	False	True	0
Q05949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395	0	False	True	0
Q8TF40	Homo sapiens	Metazoa	1166	0	False	True	0
Q17602	Caenorhabditis elegans	Metazoa	1390	0	False	True	0
O48847	Arabidopsis thaliana	Plants	787	0	False	True	0
O43913	Homo sapiens	Metazoa	435	0	False	True	0
Q7Z7C8	Homo sapiens	Metazoa	310	0	False	True	0
Q94K49	Arabidopsis thaliana	Plants	396	0	False	True	0
Q92466	Homo sapiens	Metazoa	427	0	False	True	0
O14044	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241	0	False	True	0
Q60EN8	Oryza sativa subsp. japonica	Plants	151	0	True	True	0
Q9LY74	Arabidopsis thaliana	Plants	338	0	False	True	0
Q94A41	Arabidopsis thaliana	Plants	887	0	False	True	0
Q0WVH0	Arabidopsis thaliana	Plants	594	0	False	True	0
P41546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	0	False	True	0
P30776	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	628	0	False	True	0
Q7S711	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	443	0	False	True	0
G5ED47	Caenorhabditis elegans	Metazoa	413	0	False	True	0
Q8C624	Mus musculus	Metazoa	132	0	False	True	0
Q91Z67	Mus musculus	Metazoa	1071	0	False	True	0
Q9W4N2	Drosophila melanogaster	Metazoa	788	0	False	True	0
P34427	Caenorhabditis elegans	Metazoa	962	0	False	True	0
Q10585	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124	0	False	True	0
Q59H18	Homo sapiens	Metazoa	835	0	False	True	0
Q9QY24	Mus musculus	Metazoa	411	0	False	True	0
P53142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	486	0	False	True	0
Q5BJM8	Rattus norvegicus	Metazoa	378	0	True	True	0
Q9LMR3	Arabidopsis thaliana	Plants	358	0	False	True	0
P55197	Homo sapiens	Metazoa	1068	0	False	True	0
P38140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	529	0	False	True	0
Q969X0	Homo sapiens	Metazoa	211	0	False	True	0
O74971	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	261	0	False	True	0
P07910	Homo sapiens	Metazoa	306	0	False	True	0
Q03790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	475	0	False	True	0
Q8GS60	Arabidopsis thaliana	Plants	462	0	False	True	0
P40208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455	0	False	True	0
Q38893	Arabidopsis thaliana	Plants	558	0	False	True	0
Q6Q5X2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	51	0	False	True	0
Q9LJ87	Arabidopsis thaliana	Plants	415	0	False	True	0
Q9NPJ4	Homo sapiens	Metazoa	139	0	False	True	0
Q86YC2	Homo sapiens	Metazoa	1186	0	False	True	0
Q61818	Mus musculus	Metazoa	1889	0	False	True	0
Q8VDF2	Mus musculus	Metazoa	782	0	False	True	0
Q3MIT2	Homo sapiens	Metazoa	529	0	False	True	0
P07332	Homo sapiens	Metazoa	822	0	False	True	0
Q96C86	Homo sapiens	Metazoa	337	0	False	True	0
Q84WV6	Arabidopsis thaliana	Plants	635	0	False	True	0
P48608	Drosophila melanogaster	Metazoa	1091	0	False	True	0
P82924	Bos taurus	Metazoa	435	0	False	True	0
Q9UBF8	Homo sapiens	Metazoa	816	0	False	True	0
Q9VL14	Drosophila melanogaster	Metazoa	118	0	False	True	0
Q9CQF3	Mus musculus	Metazoa	227	0	False	True	0
Q9BQ83	Homo sapiens	Metazoa	275	0	False	True	0
Q9WTZ9	Mus musculus	Metazoa	124	0	False	True	0
Q8N3V7	Homo sapiens	Metazoa	929	0	False	True	0
Q6DFQ7	Xenopus tropicalis	Metazoa	342	0	True	True	0
Q96JN0	Homo sapiens	Metazoa	433	0	False	True	0
P42338	Homo sapiens	Metazoa	1070	0	False	True	0
P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289	0	False	True	0
P18496	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279	0	False	True	0
H2L0G5	Caenorhabditis elegans	Metazoa	1367	0	False	True	0
Q9VEC3	Drosophila melanogaster	Metazoa	648	0	False	True	0
O74434	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	626	0	False	True	0
Q8IWV7	Homo sapiens	Metazoa	1749	0	False	True	0
Q10990	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490	0	False	True	0
P23500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304	0	False	True	0
Q8WWC4	Homo sapiens	Metazoa	291	0	False	True	0
Q9H467	Homo sapiens	Metazoa	287	0	False	True	0
O61016	Crithidia fasciculata	Other	151	0	False	True	0
Q6NZN1	Mus musculus	Metazoa	1644	0	False	True	0
P51557	Mus musculus	Metazoa	284	0	False	True	0
Q7ZT48	Xenopus laevis	Metazoa	221	0	False	True	0
Q06148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342	0	True	True	0
Q9QYW0	Rattus norvegicus	Metazoa	523	0	False	True	0
O96624	Dictyostelium discoideum	Other	174	0	False	True	0
Q10R09	Oryza sativa subsp. japonica	Plants	310	0	False	True	0
Q06668	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471	0	False	True	0
P53208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	328	0	False	True	0
Q498E2	Rattus norvegicus	Metazoa	182	0	False	True	0
Q9SID1	Arabidopsis thaliana	Plants	238	0	False	True	0
Q9H5Q4	Homo sapiens	Metazoa	396	0	False	True	0
P35269	Homo sapiens	Metazoa	517	0	False	True	0
P19735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	899	0	False	True	0
Q43092	Pisum sativum	Plants	603	0	False	True	0
A4GSN8	Arabidopsis thaliana	Plants	2093	0	False	True	0
Q08116	Homo sapiens	Metazoa	209	0	False	True	0
G5EEM0	Caenorhabditis elegans	Metazoa	418	0	False	True	0
Q15038	Homo sapiens	Metazoa	168	0	False	True	0
Q22707	Caenorhabditis elegans	Metazoa	233	0	False	True	0
Q96P66	Homo sapiens	Metazoa	508	0	False	True	0
Q99N92	Mus musculus	Metazoa	148	0	False	True	0
P25615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	582	0	False	True	0
Q12315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	538	0	False	True	0
Q18825	Caenorhabditis elegans	Metazoa	811	0	False	True	0
P53694	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	308	0	False	True	0
Q8I566	Plasmodium falciparum (isolate 3D7)	Other	442	0	False	True	0
Q9USV1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299	0	False	True	0
P17256	Rattus norvegicus	Metazoa	395	0	False	True	0
Q9ESV1	Rattus norvegicus	Metazoa	1051	0	False	True	0
Q12374	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	616	0	False	True	0
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644	0	False	True	0
O42978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	80	0	False	True	0
Q5TAQ9	Homo sapiens	Metazoa	597	0	False	True	0
Q3V0Q6	Mus musculus	Metazoa	470	0	False	True	0
Q6PEY1	Homo sapiens	Metazoa	159	0	True	True	0
P32843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	850	0	False	True	0
Q5EBL4	Homo sapiens	Metazoa	403	0	False	True	0
A8J785	Chlamydomonas reinhardtii	Plants	209	0	True	True	0
P53540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	846	0	False	True	0
Q12789	Homo sapiens	Metazoa	2109	0	False	True	0
Q9H9Q4	Homo sapiens	Metazoa	299	0	False	True	0
O88892	Mus musculus	Metazoa	62	0	False	True	0
O75081	Homo sapiens	Metazoa	653	0	False	True	0
Q6AVI1	Oryza sativa subsp. japonica	Plants	227	0	False	True	0
P40548	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	159	0	False	True	0
Q9BYN7	Homo sapiens	Metazoa	854	0	False	True	0
Q9NSK7	Homo sapiens	Metazoa	141	0	True	True	0
O14188	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1489	0	False	True	0
O55102	Mus musculus	Metazoa	125	0	False	True	0
Q69ZQ1	Mus musculus	Metazoa	716	0	False	True	0
P06786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1428	0	False	True	0
P42356	Homo sapiens	Metazoa	2102	0	False	True	0
Q3V6T2	Homo sapiens	Metazoa	1871	0	False	True	0
Q05043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376	0	False	True	0
Q21502	Caenorhabditis elegans	Metazoa	870	0	False	True	0
Q8TDB6	Homo sapiens	Metazoa	740	0	False	True	0
A4UVI1	Papio anubis	Metazoa	444	0	False	True	0
P53692	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1140	0	False	True	0
Q1MTS0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	597	0	False	True	0
P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442	0	False	True	0
Q9FNQ0	Arabidopsis thaliana	Plants	625	0	False	True	0
G5DGA8	Ips pini	Metazoa	253	0	False	True	0
P34537	Caenorhabditis elegans	Metazoa	837	0	False	True	0
Q6PJG6	Homo sapiens	Metazoa	821	0	False	True	0
O43822	Homo sapiens	Metazoa	256	0	False	True	0
O88801	Rattus norvegicus	Metazoa	354	0	False	True	0
Q7XHR2	Oryza sativa subsp. japonica	Plants	927	0	False	True	0
A0JNW5	Homo sapiens	Metazoa	1464	0	False	True	0
P36046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	403	0	False	True	0
Q8IVS2	Homo sapiens	Metazoa	390	0	False	True	0
Q06405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	101	0	False	True	0
Q9D5U8	Mus musculus	Metazoa	673	0	False	True	0
Q12219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	0	False	True	0
O23210	Arabidopsis thaliana	Plants	486	0	False	True	0
O22267	Arabidopsis thaliana	Plants	1122	0	True	True	0
P51587	Homo sapiens	Metazoa	3418	0	False	True	0
Q9P0Z9	Homo sapiens	Metazoa	390	0	False	True	0
Q16186	Homo sapiens	Metazoa	407	0	False	True	0
Q5TB30	Homo sapiens	Metazoa	811	0	False	True	0
Q7RYW8	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	258	0	False	True	0
P17442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1178	0	False	True	0
E5KBU3	Pinus taeda	Plants	354	0	False	True	0
Q27403	Drosophila melanogaster	Metazoa	504	0	False	True	0
P58557	Homo sapiens	Metazoa	167	0	False	True	0
P82979	Homo sapiens	Metazoa	210	0	False	True	0
Q9Y228	Homo sapiens	Metazoa	551	0	False	True	0
Q08176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113	0	True	True	0
P13010	Homo sapiens	Metazoa	732	0	False	True	0
O17679	Caenorhabditis elegans	Metazoa	708	0	False	True	0
O75616	Homo sapiens	Metazoa	437	0	False	True	0
Q96BN2	Homo sapiens	Metazoa	335	0	False	True	0
Q12368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	194	0	False	True	0
Q07897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291	0	False	True	0
Q7S1R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	267	0	False	True	0
Q8RWE8	Arabidopsis thaliana	Plants	442	0	False	True	0
Q03254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	732	0	False	True	0
O43030	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287	0	False	True	0
A0A0D1E3S6	Mycosarcoma maydis	Fungi	591	0	False	True	0
Q91876	Xenopus laevis	Metazoa	720	0	False	True	0
Q8IZF0	Homo sapiens	Metazoa	1738	0	False	True	0
Q8IU60	Homo sapiens	Metazoa	420	0	False	True	0
O74317	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	113	0	False	True	0
P29344	Spinacia oleracea	Plants	411	0	False	True	0
P42695	Homo sapiens	Metazoa	1498	0	False	True	0
Q9Y5Y3	Homo sapiens	Metazoa	372	0	False	True	0
P49454	Homo sapiens	Metazoa	3114	0	False	True	0
Q709R6	Drosophila melanogaster	Metazoa	399	0	False	True	0
P27793	Capnoides sempervirens	Plants	447	0	False	True	0
Q12223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	0	False	True	0
P62875	Homo sapiens	Metazoa	67	0	False	True	0
P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266	0	False	True	0
Q6PB70	Mus musculus	Metazoa	1060	0	False	True	0
O14862	Homo sapiens	Metazoa	343	0	False	True	0
Q767K8	Sus scrofa	Metazoa	258	0	False	True	0
P38637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319	0	False	True	0
Q96JM3	Homo sapiens	Metazoa	812	0	False	True	0
P04271	Homo sapiens	Metazoa	92	0	False	True	0
Q23973	Drosophila melanogaster	Metazoa	217	0	False	True	0
O74846	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	752	0	False	True	0
P0DW81	Homo sapiens	Metazoa	44	0	False	True	0
B9DGI8	Arabidopsis thaliana	Plants	314	0	False	True	0
Q13426	Homo sapiens	Metazoa	336	0	False	True	0
O15294	Homo sapiens	Metazoa	1046	0	False	True	0
Q05958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	814	0	False	True	0
Q91ZR5	Mus musculus	Metazoa	686	0	False	True	0
O81242	Arabidopsis thaliana	Plants	355	0	False	True	0
P34077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	839	0	False	True	0
Q96TA1	Homo sapiens	Metazoa	746	0	False	True	0
Q8NEY3	Homo sapiens	Metazoa	305	0	False	True	0
P36088	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	180	0	False	True	0
Q9UQ84	Homo sapiens	Metazoa	846	0	False	True	0
Q0VDF9	Homo sapiens	Metazoa	509	0	False	True	0
Q9CAI5	Arabidopsis thaliana	Plants	465	0	False	True	0
O59858	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	158	0	False	True	0
Q9ZNT1	Arabidopsis thaliana	Plants	281	0	True	True	0
O95817	Homo sapiens	Metazoa	575	0	False	True	0
Q9LPL4	Arabidopsis thaliana	Plants	360	0	False	True	0
Q8IUR7	Homo sapiens	Metazoa	673	0	False	True	0
Q2M2T7	Bos taurus	Metazoa	167	0	False	True	0
Q12146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	194	0	False	True	0
Q9W4X9	Drosophila melanogaster	Metazoa	721	0	False	True	0
O45717	Caenorhabditis elegans	Metazoa	293	0	False	True	0
Q9BW91	Homo sapiens	Metazoa	350	0	False	True	0
Q07799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	665	0	False	True	0
E9P8D2	Saccharomyces cerevisiae	Fungi	229	0	False	True	0
Q9R1M5	Mus musculus	Metazoa	1163	0	False	True	0
Q9UTH3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	775	0	False	True	0
O74443	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272	0	False	True	0
O43918	Homo sapiens	Metazoa	545	0	False	True	0
Q86B87	Drosophila melanogaster	Metazoa	610	0	False	True	0
Q96QE3	Homo sapiens	Metazoa	1844	0	False	True	0
Q8H0V5	Arabidopsis thaliana	Plants	354	0	False	True	0
P13638	Rattus norvegicus	Metazoa	290	0	False	True	0
P16451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	410	0	False	True	0
P20826	Mus musculus	Metazoa	273	25	None	True	1
P55058	Homo sapiens	Metazoa	493	17	None	True	1
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22	None	True	1
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19	None	True	1
P68248	Gallus gallus	Metazoa	80	25	None	True	1
Q61789	Mus musculus	Metazoa	3330	31	None	True	1
Q61400	Mus musculus	Metazoa	265	33	None	True	1
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22	None	True	1
Q96F46	Homo sapiens	Metazoa	866	32	None	True	1
Q27908	Pinctada fucata	Metazoa	447	17	None	True	1
Q8WPJ2	Mytilus edulis	Metazoa	367	17	None	True	1
P20013	Trametes versicolor	Fungi	372	26	None	True	1
P15018	Homo sapiens	Metazoa	202	22	None	True	1
Q8W257	Ptilota filicina	Other	500	21	None	True	1
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29	None	True	1
P80513	Bos taurus	Metazoa	179	21	None	True	1
P48765	Bos taurus	Metazoa	970	32	None	True	1
I6RA76	Scolopendra mutilans	Metazoa	64	18	None	True	1
P40967	Homo sapiens	Metazoa	661	24	None	True	1
Q9TVX3	Olivierus martensii	Metazoa	61	28	None	True	1
F1NSM7	Gallus gallus	Metazoa	743	18	None	True	1
Q6QD51	Rattus norvegicus	Metazoa	949	27	None	True	1
P10493	Mus musculus	Metazoa	1245	28	None	True	1
Q96PL1	Homo sapiens	Metazoa	93	21	None	True	1
P06727	Homo sapiens	Metazoa	396	20	None	True	1
P10764	Ovis aries	Metazoa	179	24	None	True	1
P13725	Homo sapiens	Metazoa	252	25	None	True	1
A1X159	Perna viridis	Metazoa	431	20	None	True	1
P86798	Cupiennius salei	Metazoa	140	19	None	True	1
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24	None	True	1
P05059	Bos taurus	Metazoa	449	18	None	True	1
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22	None	True	1
P20757	Ovis aries	Metazoa	476	24	None	True	1
Q91XZ4	Mus musculus	Metazoa	772	28	None	True	1
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23	None	True	1
P26732	Bombyx mori	Metazoa	92	19	None	True	1
P67861	Daboia russelii	Metazoa	144	24	None	True	1
Q63372	Rattus norvegicus	Metazoa	1530	30	None	True	1
Q8I817	Aplysia californica	Metazoa	88	19	None	True	1
P06911	Rattus norvegicus	Metazoa	188	19	None	True	1
P0DPU9	Myrmecia gulosa	Metazoa	67	25	None	True	1
P22388	Rattus norvegicus	Metazoa	202	25	None	True	1
Q8ISL8	Apis mellifera	Metazoa	78	24	None	True	1
Q07654	Homo sapiens	Metazoa	80	21	None	True	1
P11919	Manduca sexta	Metazoa	88	26	None	True	1
Q86WA6	Homo sapiens	Metazoa	291	37	None	True	1
P55000	Homo sapiens	Metazoa	103	22	None	True	1
P27797	Homo sapiens	Metazoa	417	17	None	True	1
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23	None	True	1
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32	None	True	1
Q13478	Homo sapiens	Metazoa	541	18	None	True	1
B4FZ87	Zea mays	Plants	396	31	None	True	1
P04844	Homo sapiens	Metazoa	631	22	None	True	1
O70280	Rattus norvegicus	Metazoa	212	26	None	True	1
Q7ZZN8	Naja atra	Metazoa	238	19	None	True	1
P25033	Hyalophora cecropia	Metazoa	413	19	None	True	1
Q8T1G4	Dictyostelium discoideum	Other	181	19	None	True	1
P17715	Octodon degus	Metazoa	109	24	None	True	1
P02462	Homo sapiens	Metazoa	1669	27	None	True	1
Q7SZI7	Xenopus laevis	Metazoa	1219	22	None	True	1
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23	None	True	1
Q16568	Homo sapiens	Metazoa	116	27	None	True	1
P0DQB8	Scolopendra dehaani	Metazoa	73	20	None	True	1
P11717	Homo sapiens	Metazoa	2491	40	None	True	1
P16112	Homo sapiens	Metazoa	2530	16	None	True	1
P42578	Lymnaea stagnalis	Metazoa	239	18	None	True	1
Q03405	Homo sapiens	Metazoa	335	22	None	True	1
Q9HB40	Homo sapiens	Metazoa	452	26	None	True	1
O55232	Rattus norvegicus	Metazoa	130	32	None	True	1
P16235	Rattus norvegicus	Metazoa	700	26	None	True	1
P14209	Homo sapiens	Metazoa	185	22	None	True	1
P04196	Homo sapiens	Metazoa	525	18	None	True	1
P55847	Penaeus japonicus	Metazoa	105	28	None	True	1
Q43871	Hordeum vulgare	Plants	115	25	None	True	1
P49259	Bos taurus	Metazoa	1463	20	None	True	1
P24052	Gallus gallus	Metazoa	142	21	None	True	1
P19427	Bos taurus	Metazoa	201	18	None	True	1
P04275	Homo sapiens	Metazoa	2813	22	None	True	1
P06681	Homo sapiens	Metazoa	752	20	None	True	1
O08795	Mus musculus	Metazoa	521	14	None	True	1
P02701	Gallus gallus	Metazoa	152	24	None	True	1
O18994	Sus scrofa	Metazoa	219	21	None	True	1
Q9GZX6	Homo sapiens	Metazoa	179	33	None	True	1
P54660	Dictyostelium discoideum	Other	143	22	None	True	1
P29794	Canis lupus familiaris	Metazoa	180	20	None	True	1
Q86IV5	Dictyostelium discoideum	Other	258	21	None	True	1
P01297	Sus scrofa	Metazoa	121	24	None	True	1
Q62632	Rattus norvegicus	Metazoa	306	18	None	True	1
P51460	Homo sapiens	Metazoa	131	20	None	True	1
P01189	Homo sapiens	Metazoa	267	26	None	True	1
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17	None	True	1
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19	None	True	1
P10124	Homo sapiens	Metazoa	158	27	None	True	1
P24817	Momordica charantia	Plants	286	23	None	True	1
O62680	Sus scrofa	Metazoa	123	25	None	True	1
Q16552	Homo sapiens	Metazoa	155	23	None	True	1
P02652	Homo sapiens	Metazoa	100	18	None	True	1
Q27441	Aplysia californica	Metazoa	92	21	None	True	1
Q23997	Drosophila melanogaster	Metazoa	452	18	None	True	1
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19	None	True	1
Q9NZV1	Homo sapiens	Metazoa	1036	34	None	True	1
Q95NJ8	Olivierus martensii	Metazoa	55	23	None	True	1
P52823	Homo sapiens	Metazoa	247	17	None	True	1
P30440	Felis catus	Metazoa	109	17	None	True	1
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19	None	True	1
P11590	Mus musculus	Metazoa	178	16	None	True	1
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20	None	True	1
P42292	Gallus gallus	Metazoa	588	33	None	True	1
Q868Z9	Drosophila melanogaster	Metazoa	2898	26	None	True	1
