Accession	Organism	Kingdom	Length	Cleavage_site
O62605	Galleria mellonella	Metazoa	218	16
Q29W25	Crocus sativus	Plants	168	26
Q00193	Oryctolagus cuniculus	Metazoa	540	24
Q9NTU7	Homo sapiens	Metazoa	201	27
P08375	Sarcophaga peregrina	Metazoa	63	23
Q00954	Rattus norvegicus	Metazoa	218	18
Q5FWE3	Homo sapiens	Metazoa	981	27
Q8WZI8	Aspergillus niger	Fungi	521	17
Q92643	Homo sapiens	Metazoa	395	27
F1N5C8	Bos taurus	Metazoa	445	22
P81999	Canis lupus familiaris	Metazoa	358	22
B8JLQ9	Danio rerio	Metazoa	363	24
Q9UKZ9	Homo sapiens	Metazoa	415	23
P0DMD3	Scolopendra mutilans	Metazoa	105	21
P18709	Xenopus laevis	Metazoa	1807	15
P21570	Mus musculus	Metazoa	145	24
B2KNH9	Dendrobium findlayanum	Plants	167	24
P60153	Homo sapiens	Metazoa	205	26
Q9H6E4	Homo sapiens	Metazoa	229	22
P01221	Cyprinus carpio	Metazoa	118	23
Q27441	Aplysia californica	Metazoa	92	21
O35701	Mus musculus	Metazoa	481	27
P10820	Mus musculus	Metazoa	554	20
Q25589	Faxonius limosus	Metazoa	135	26
P23577	Chlamydomonas reinhardtii	Plants	317	31
P04217	Homo sapiens	Metazoa	495	21
Q8MP06	Tyria jacobaeae	Metazoa	456	22
P02809	Macaca fascicularis	Metazoa	61	19
Q41161	Robinia pseudoacacia	Plants	285	31
Q08127	Anguilla anguilla	Metazoa	147	20
Q63617	Rattus norvegicus	Metazoa	999	32
P29459	Homo sapiens	Metazoa	219	22
Q25255	Lucilia cuprina	Metazoa	356	23
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20
O43866	Homo sapiens	Metazoa	347	19
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19
P24052	Gallus gallus	Metazoa	142	21
P11215	Homo sapiens	Metazoa	1152	16
F1AWB0	Vaejovis mexicanus	Metazoa	82	22
P02896	Trypanosoma brucei brucei	Other	526	33
Q8I7X1	Porcellio scaber	Metazoa	145	21
C0H9B6	Salmo salar	Metazoa	413	19
Q99ML8	Mus musculus	Metazoa	113	23
P86407	Mesobuthus eupeus	Metazoa	75	22
P04925	Mus musculus	Metazoa	254	22
Q8WMP9	Bos taurus	Metazoa	407	29
O18994	Sus scrofa	Metazoa	219	21
E0D877	Aedes albopictus	Metazoa	564	25
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18
P0C1X6	Tityus discrepans	Metazoa	62	26
Q12546	Aspergillus ficuum	Fungi	614	22
Q53NL5	Oryza sativa subsp. japonica	Plants	290	27
P52798	Homo sapiens	Metazoa	201	25
Q8BPM6	Mus musculus	Metazoa	367	31
B0FHH8	Manduca sexta	Metazoa	151	18
Q8VCS0	Mus musculus	Metazoa	530	22
P68248	Gallus gallus	Metazoa	80	25
P16882	Mus musculus	Metazoa	650	24
P81054	Grifola frondosa	Fungi	348	18
P05164	Homo sapiens	Metazoa	745	48
Q95P08	Scutigera coleoptrata	Metazoa	656	18
Q7KRU8	Drosophila melanogaster	Metazoa	205	19
Q6XE38	Homo sapiens	Metazoa	83	21
P24821	Homo sapiens	Metazoa	2201	22
P40259	Homo sapiens	Metazoa	229	28
P91629	Drosophila miranda	Metazoa	126	16
Q9NRM6	Homo sapiens	Metazoa	502	17
P01131	Bos taurus	Metazoa	845	21
P16382	Mus musculus	Metazoa	810	25
Q00657	Rattus norvegicus	Metazoa	2326	29
P51460	Homo sapiens	Metazoa	131	20
Q9BWV1	Homo sapiens	Metazoa	1114	30
Q8WML4	Bos taurus	Metazoa	580	22
Q16568	Homo sapiens	Metazoa	116	27
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
Q99944	Homo sapiens	Metazoa	293	25
P15570	Phytophthora cryptogea	Other	118	20
P49125	Latrodectus tredecimguttatus	Metazoa	88	18
E9NX73	Fagopyrum tataricum	Plants	149	22
P00687	Mus musculus	Metazoa	511	15
Q8BSU2	Mus musculus	Metazoa	246	26
P02763	Homo sapiens	Metazoa	201	18
P47710	Homo sapiens	Metazoa	185	15
P07141	Mus musculus	Metazoa	552	32
P01588	Homo sapiens	Metazoa	193	27
Q96HF1	Homo sapiens	Metazoa	295	24
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18
F7J1C8	Flammulina velutipes	Fungi	249	21
P80356	Avena sativa	Plants	220	19
P84777	Tityus discrepans	Metazoa	61	23
P33577	Petromyzon marinus	Metazoa	119	19
Q8NBK3	Homo sapiens	Metazoa	374	33
Q8W257	Ptilota filicina	Other	500	21
Q9NRC9	Homo sapiens	Metazoa	128	17
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18
Q8C1Q4	Mus musculus	Metazoa	291	21
P10493	Mus musculus	Metazoa	1245	28
Q6UW88	Homo sapiens	Metazoa	154	22
P06727	Homo sapiens	Metazoa	396	20
P81827	Rattus norvegicus	Metazoa	101	21
Q15465	Homo sapiens	Metazoa	462	23
P27731	Gallus gallus	Metazoa	150	20
P15226	Tityus serrulatus	Metazoa	84	20
P17690	Bos taurus	Metazoa	345	19
Q13162	Homo sapiens	Metazoa	271	37
P01297	Sus scrofa	Metazoa	121	24
Q15762	Homo sapiens	Metazoa	336	18
Q8T0Y7	Aplysia californica	Metazoa	141	26
P13691	Hordeum vulgare	Plants	152	30
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22
Q27270	Tenebrio molitor	Metazoa	96	18
P56722	Bos taurus	Metazoa	979	34
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20
P01888	Bos taurus	Metazoa	118	20
Q00945	Lymnaea stagnalis	Metazoa	155	26
P20333	Homo sapiens	Metazoa	461	22
Q9NRR1	Homo sapiens	Metazoa	136	22
P09619	Homo sapiens	Metazoa	1106	32
Q8RUW5	Arabidopsis thaliana	Plants	433	19
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
Q6WN34	Homo sapiens	Metazoa	429	25
Q13651	Homo sapiens	Metazoa	578	21
Q9Z0M9	Mus musculus	Metazoa	193	28
Q8MI01	Bos taurus	Metazoa	330	23
Q13007	Homo sapiens	Metazoa	206	51
Q969N2	Homo sapiens	Metazoa	578	21
B0JFB8	Antheraea mylitta	Metazoa	105	19
P27275	Amaranthus caudatus	Plants	86	25
Q9LRC8	Scutellaria baicalensis	Plants	527	25
Q5PP12	Arabidopsis thaliana	Plants	69	25
Q6UW32	Homo sapiens	Metazoa	110	24
P61916	Homo sapiens	Metazoa	151	19
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17
Q8NC67	Homo sapiens	Metazoa	525	22
P29022	Zea mays	Plants	280	25
Q6UXB2	Homo sapiens	Metazoa	119	21
P81605	Homo sapiens	Metazoa	110	19
Q86Y78	Homo sapiens	Metazoa	171	22
Q9UAH3	Pinctada fucata	Metazoa	129	23
Q96DU3	Homo sapiens	Metazoa	332	21
Q9Y4X3	Homo sapiens	Metazoa	112	24
P25116	Homo sapiens	Metazoa	425	21
P13727	Homo sapiens	Metazoa	222	16
Q8WWA0	Homo sapiens	Metazoa	313	18
P81264	Bos taurus	Metazoa	98	22
Q9UHF4	Homo sapiens	Metazoa	553	29
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23
Q95121	Bos taurus	Metazoa	416	20
P04062	Homo sapiens	Metazoa	536	39
E0XKJ8	Tabanus yao	Metazoa	256	16
P18417	Catharanthus roseus	Plants	352	31
Q28989	Sus scrofa	Metazoa	421	26
Q9Y251	Homo sapiens	Metazoa	543	35
P01165	Sus scrofa	Metazoa	207	22
O95157	Homo sapiens	Metazoa	252	22
P85261	Actinidia chinensis var. chinensis	Plants	213	24
Q8TC27	Homo sapiens	Metazoa	787	16
O35310	Mus musculus	Metazoa	311	20
P00450	Homo sapiens	Metazoa	1065	19
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26
P12729	Dictyostelium discoideum	Other	168	19
Q94637	Oscheius tipulae	Metazoa	1648	15
P82358	Acanthoscurria gomesiana	Metazoa	84	23
Q9TVX3	Olivierus martensii	Metazoa	61	28
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22
P13385	Homo sapiens	Metazoa	188	30
Q6ZSA7	Homo sapiens	Metazoa	298	34
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	20
Q9UAD0	Olivierus martensii	Metazoa	59	24
Q5G8A6	Tityus costatus	Metazoa	87	19
P04275	Homo sapiens	Metazoa	2813	22
P12318	Homo sapiens	Metazoa	317	33
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18
P81160	Drosophila melanogaster	Metazoa	54	21
Q9UIK5	Homo sapiens	Metazoa	374	40
O48818	Arabidopsis thaliana	Plants	257	20
Q6UWY5	Homo sapiens	Metazoa	402	28
P13598	Homo sapiens	Metazoa	275	24
Q86R84	Dermatophagoides farinae	Metazoa	462	25
P09791	Trypanosoma brucei brucei	Other	129	27
O43278	Homo sapiens	Metazoa	529	35
Q84V39	Olea europaea	Plants	123	21
B2NHN2	Talaromyces funiculosus	Fungi	339	20
W1I921	Achatina achatina	Metazoa	184	26
P19320	Homo sapiens	Metazoa	739	24
P31608	Sagittaria sagittifolia	Plants	181	24
P30440	Felis catus	Metazoa	109	17
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26
P81511	Hirudo medicinalis	Metazoa	81	15
G3MYZ3	Bos taurus	Metazoa	604	21
O76192	Galleria mellonella	Metazoa	167	17
P20774	Homo sapiens	Metazoa	298	20
Q9GQV7	Aedes aegypti	Metazoa	128	22
Q16627	Homo sapiens	Metazoa	93	19
Q9ZT64	Pinus contorta	Plants	513	23
P0DPU9	Myrmecia gulosa	Metazoa	67	25
Q42656	Coffea arabica	Plants	378	15
Q8WP90	Solenopsis invicta	Metazoa	153	19
P00533	Homo sapiens	Metazoa	1210	24
Q9R1T7	Rattus norvegicus	Metazoa	200	20
Q9UBN6	Homo sapiens	Metazoa	386	55
Q10NX8	Oryza sativa subsp. japonica	Plants	858	30
P19594	Glycine max	Plants	158	21
A0A1L6K371	Juglans nigra	Plants	510	23
P83508	Cavia porcellus	Metazoa	170	16
P10163	Homo sapiens	Metazoa	310	16
P20160	Homo sapiens	Metazoa	251	19
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17
P14214	Tachypleus tridentatus	Metazoa	77	23
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Plants	274	25
Q9VG55	Drosophila melanogaster	Metazoa	191	24
P91745	Lucilia cuprina	Metazoa	375	20
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
Q9UK23	Homo sapiens	Metazoa	515	25
P30919	Rattus norvegicus	Metazoa	345	23
P04552	Haliotis rufescens	Metazoa	154	18
O01949	Aedes aegypti	Metazoa	273	19
Q39649	Cucurbita maxima	Plants	141	22
O80323	Pyrus pyrifolia	Plants	222	22
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21
Q96AP7	Homo sapiens	Metazoa	390	29
Q9HBE5	Homo sapiens	Metazoa	538	19
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23
Q86T13	Homo sapiens	Metazoa	490	21
P01269	Sus scrofa	Metazoa	115	25
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23
P06911	Rattus norvegicus	Metazoa	188	19
G9M8X1	Nephotettix cincticeps	Metazoa	687	19
P80060	Locusta migratoria	Metazoa	92	19
P13917	Glycine max	Plants	427	24
P62520	Chilobrachys guangxiensis	Metazoa	63	27
Q8TCT8	Homo sapiens	Metazoa	520	25
P49259	Bos taurus	Metazoa	1463	20
Q6ASY2	Oryza sativa subsp. japonica	Plants	178	26
P54900	Rattus norvegicus	Metazoa	215	29
O75629	Homo sapiens	Metazoa	220	31
P19427	Bos taurus	Metazoa	201	18
Q9H9K5	Homo sapiens	Metazoa	563	26
P21828	Bombyx mori	Metazoa	262	16
P23438	Canis lupus familiaris	Metazoa	183	17
Q8WUJ3	Homo sapiens	Metazoa	1361	30
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
Q9U8D1	Olivierus martensii	Metazoa	56	28
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22
Q9NPG1	Homo sapiens	Metazoa	666	22
O00206	Homo sapiens	Metazoa	839	23
O62680	Sus scrofa	Metazoa	123	25
Q13421	Homo sapiens	Metazoa	630	36
P13686	Homo sapiens	Metazoa	325	21
C0HKM3	Conus purpurascens	Metazoa	458	18
Q4V645	Drosophila melanogaster	Metazoa	108	29
I6RA76	Scolopendra mutilans	Metazoa	64	18
P0DQP8	Cerrophidion godmani	Metazoa	166	19
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
P04639	Rattus norvegicus	Metazoa	259	18
P14770	Homo sapiens	Metazoa	177	16
P81941	Pseudopleuronectes americanus	Metazoa	68	22
Q09098	Mus musculus	Metazoa	99	23
E0XKJ9	Tabanus yao	Metazoa	349	25
P07602	Homo sapiens	Metazoa	524	16
P0DUQ6	Conus planorbis	Metazoa	70	21
P23515	Homo sapiens	Metazoa	440	24
P22388	Rattus norvegicus	Metazoa	202	25
P80915	Macadamia integrifolia	Plants	102	26
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23
P20062	Homo sapiens	Metazoa	427	18
P02810	Homo sapiens	Metazoa	166	16
Q9BZW8	Homo sapiens	Metazoa	370	21
Q9D6Y1	Mus musculus	Metazoa	273	21
P56829	Ovis aries	Metazoa	195	23
Q9NAX4	Dictyostelium discoideum	Other	464	17
O14625	Homo sapiens	Metazoa	94	21
Q6UWN5	Homo sapiens	Metazoa	251	25
O70280	Rattus norvegicus	Metazoa	212	26
Q8LD43	Arabidopsis thaliana	Plants	62	22
P82384	Drosophila melanogaster	Metazoa	92	16
Q9GZX6	Homo sapiens	Metazoa	179	33
P59938	Olivierus martensii	Metazoa	57	21
Q63415	Rattus norvegicus	Metazoa	937	45
O88188	Mus musculus	Metazoa	162	19
D3Z9M3	Rattus norvegicus	Metazoa	109	16
P18181	Mus musculus	Metazoa	240	22
Q62813	Rattus norvegicus	Metazoa	338	28
G5EC68	Caenorhabditis elegans	Metazoa	85	17
Q6UWL6	Homo sapiens	Metazoa	708	20
Q13433	Homo sapiens	Metazoa	755	28
P15018	Homo sapiens	Metazoa	202	22
G5ED35	Caenorhabditis elegans	Metazoa	135	20
P0DPU8	Scolopendra dehaani	Metazoa	105	24
P02230	Chironomus thummi thummi	Metazoa	151	15
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23
O75462	Homo sapiens	Metazoa	422	37
Q9R100	Mus musculus	Metazoa	827	25
F1RRV3	Sus scrofa	Metazoa	2692	19
Q8WPJ2	Mytilus edulis	Metazoa	367	17
P27613	Trichostrongylus colubriformis	Metazoa	173	15
P13612	Homo sapiens	Metazoa	1032	33
Q90WJ9	Takifugu pardalis	Metazoa	391	20
Q92765	Homo sapiens	Metazoa	325	32
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24
P00996	Bos taurus	Metazoa	79	23
Q00802	Bombyx mori	Metazoa	256	17
O14786	Homo sapiens	Metazoa	923	21
K9L4P7	Penicillium chrysogenum	Fungi	604	18
P26732	Bombyx mori	Metazoa	92	19
Q8BHP7	Mus musculus	Metazoa	681	32
P39037	Sus scrofa	Metazoa	232	15
P03971	Homo sapiens	Metazoa	560	24
P48842	Aspergillus aculeatus	Fungi	350	16
Q9Y5Q6	Homo sapiens	Metazoa	135	22
Q9BX93	Homo sapiens	Metazoa	195	19
Q00017	Aspergillus aculeatus	Fungi	250	17
P08833	Homo sapiens	Metazoa	259	25
P02774	Homo sapiens	Metazoa	474	16
Q99935	Homo sapiens	Metazoa	248	21
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19
Q9NSA1	Homo sapiens	Metazoa	209	28
P29241	Aplysia californica	Metazoa	282	24
Q27082	Tachypleus tridentatus	Metazoa	673	19
P28039	Homo sapiens	Metazoa	575	23
Q99372	Rattus norvegicus	Metazoa	870	27
P03998	Limulus polyphemus	Metazoa	195	20
Q9H5V8	Homo sapiens	Metazoa	836	29
P01591	Homo sapiens	Metazoa	159	22
P01189	Homo sapiens	Metazoa	267	26
P28088	Bos taurus	Metazoa	441	26
O42807	Aspergillus niger	Fungi	281	21
Q9Z1K9	Rattus norvegicus	Metazoa	827	17
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19
Q02862	Mus musculus	Metazoa	184	15
P08541	Rattus norvegicus	Metazoa	530	23
